Batch,Condition,Day,Sample Time,TCC,VCC,Viability,Glucose,Glutamate,Lactate,Osmo,Ammonium,IGG,pH_at_temp,pH_Setpoint,Temperature,Daily_Feed_Normalized,Daily_Glucose_Normalized,Daily_CO2_Volume_Normalized,Controller_pH,Feed A Added,Glucose Added,CO2_Total_Volume,Volume
AR23-014-006,pH: 7.01,2,3/9/2023 6:44,2.37,2.34,98.73417722,4.73,3.41,0.96,321,5.29,,7.19,7.01,36.5,0,0,0,7.247,0,0,0.2,193.1
AR23-014-007,pH: 6.95,2,3/9/2023 6:54,0.9,0.89,98.88888889,5.58,3.34,0.46,326,4.26,,7.16,6.95,36.5,0,0,0.000517866,7.218,0,0,0.4,193.1
AR23-014-008,pH: 7.008,2,3/9/2023 7:04,2.81,2.76,98.22064057,4.69,3.48,1.05,319,5.48,,7.21,7.008,36.5,0,0,0,7.237,0,0,0.2,193.1
AR23-014-009,pH: 7.05,2,3/9/2023 7:14,2.05,2.02,98.53658537,5.04,3.35,0.87,327,5.07,,7.25,7.05,36.5,0,0,0,7.272,0,0,0.2,193.1
AR23-014-010,pH: 7.15,2,3/9/2023 7:24,1,0.99,99,5.41,3.42,0.67,322,4.48,,7.37,7.15,36.5,0,0,0,7.409,0,0,0.2,193.1
AR23-014-011,pH: 7.15,2,3/9/2023 7:33,2.64,2.61,98.86363636,4.53,3.49,1.09,323,5.69,,7.17,7.15,36.5,0,0,0,7.176,0,0,0.1,193.1
AR23-014-012,pH: 7.074747498,2,3/9/2023 7:43,1.84,1.82,98.91304348,5.04,3.42,0.79,324,5.05,,7.29,7.074747498,36.5,0,0,0,7.341,0,0,0.2,193.1
AR23-014-013,pH: 7.05,2,3/9/2023 7:53,1.87,1.84,98.39572193,5.04,3.3,0.82,324,4.94,,7.27,7.05,36.5,0,0,0,7.312,0,0,0.2,193.1
AR23-014-014,pH: 6.95,2,3/9/2023 8:03,2.21,2.19,99.09502262,5.07,3.53,0.81,327,5.15,,7.18,6.95,36.5,0,0,0,7.215,0,0,0.3,193.1
AR23-014-015,pH: 7.15,2,3/9/2023 8:14,0.92,0.91,98.91304348,5.52,3.46,0.6,328,4.4,,7.37,7.15,36.5,0,0,0,7.408,0,0,0.2,193.1
AR23-014-016,pH: 6.95,2,3/9/2023 8:23,1.06,1.04,98.11320755,5.61,3.54,0.48,328,4.28,,7.19,6.95,36.5,0,0,0,7.219,0,0,0.4,193.1
AR23-014-017,pH: 7.15,2,3/9/2023 8:33,2.65,2.62,98.86792453,4.47,3.6,1.11,319,5.58,,7.15,7.15,36.5,0,0,0,7.164,0,0,0.1,193.1
AR23-014-018,pH: 6.95,2,3/9/2023 8:43,1.14,1.12,98.24561404,5.56,3.42,0.5,332,4.35,,7.19,6.95,36.5,0,0,0,7.217,0,0,0.4,193.1
AR23-014-020,pH: 7.15,2,3/9/2023 8:53,1.11,1.1,99.0990991,5.41,3.49,0.62,326,4.48,,7.38,7.15,36.5,0,0,0,7.413,0,0,0.2,196.4
AR23-014-021,pH: 6.95,2,3/9/2023 9:03,2.14,2.11,98.59813084,5.06,3.52,0.8,325,5.17,,7.19,6.95,36.5,0,0,0,7.216,0,0,0.3,196.4
AR23-014-023,DR23-008 Satellites,2,3/9/2023 9:12,2.56,2.52,98.4375,4.6,3.52,1.03,322,5.42,,7.16,7.05,36.5,0,0,0,7.212,0,0,0.3,194.7
AR23-014-024,DR23-008 Satellites,2,3/9/2023 9:22,2.68,2.66,99.25373134,4.66,3.6,1.04,319,5.4,,7.17,7.05,36.5,0,0,0,7.223,0,0,0.2,193.1
AR23-014-001,pH: 7.15,3,3/10/2023 9:44,7.17,7.11,99.16317992,3.07,3.64,1.43,317,7.27,170.53,7.01,7.15,36.5,0.023684211,0.006315789,0,6.999,0,0,0.1,190
AR23-014-002,pH: 7.05,3,3/10/2023 6:08,4.75,4.7,98.94736842,3.92,3.71,1.31,315,6.51,114.57,7.03,7.05,36.5,0.029473684,0.004736842,0,7.032,0,0,0.2,190
AR23-014-003,pH: 6.95,3,3/10/2023 6:18,6.88,6.81,98.98255814,3.55,3.52,1.32,312,6.96,157.65,6.99,6.95,36.5,0.023684211,0.005263158,0,7.048,0,0,0.3,190
AR23-014-004,pH: 6.95,3,3/10/2023 6:28,5.39,5.35,99.25788497,3.83,3.64,1.3,318,6.5,124.18,6.99,6.95,36.5,0.035281727,0.004739336,0,7.052,0,0,0.3,189.9
AR23-014-005,pH: 6.95,3,3/10/2023 6:37,6.48,6.44,99.38271605,3.55,3.53,1.34,321,7.04,149.96,7.01,6.95,36.5,0.035263158,0.005263158,0,7.059,0,0,0.3,190
AR23-014-006,pH: 7.01,3,3/10/2023 6:47,6.15,6.12,99.51219512,3.45,3.47,1.41,316,7.09,156.12,7.01,7.01,36.5,0.032105263,0.005789474,0,7.008,0,0,0.2,190
AR23-014-007,pH: 6.95,3,3/10/2023 6:58,2.89,2.86,98.96193772,4.82,3.56,0.97,326,5.46,72.6,7.16,6.95,36.5,0.023684211,0,0,7.214,0,0,0.5,190
AR23-014-008,pH: 7.008,3,3/10/2023 7:07,6.87,6.81,99.12663755,3.28,3.43,1.39,314,7.04,153.05,7.01,7.008,36.5,0.023684211,0.005789474,0,7.035,0,0,0.2,190
AR23-014-009,pH: 7.05,3,3/10/2023 7:17,5.05,5.02,99.40594059,3.79,3.5,1.35,321,6.45,121.73,6.98,7.05,36.5,0.029473684,0.004736842,0,6.991,0,0,0.2,190
AR23-014-010,pH: 7.15,3,3/10/2023 7:27,2.85,2.82,98.94736842,4.41,3.53,1.16,320,5.65,74.79,7.1,7.15,36.5,0.023684211,0.003684211,0,7.118,0,0,0.2,190
AR23-014-011,pH: 7.15,3,3/10/2023 7:37,6.59,6.55,99.39301973,3.32,3.46,1.4,316,7.11,161.96,6.97,7.15,36.5,0.035263158,0.005789474,0,7.014,0,0,0.1,190
AR23-014-012,pH: 7.074747498,3,3/10/2023 7:47,4.75,4.73,99.57894737,3.91,3.56,1.19,327,6.8,133.15,7.06,7.074747498,36.5,0.035263158,0.004736842,0,7.097,0,0,0.2,190
AR23-014-013,pH: 7.05,3,3/10/2023 8:04,5.17,5.12,99.03288201,3.89,3.75,1.27,320,6.66,118.33,7.04,7.05,36.5,0.029473684,0.004736842,0,7.06,0,0,0.2,190
AR23-014-014,pH: 6.95,3,3/10/2023 8:15,5.69,5.65,99.2970123,3.71,3.54,1.26,319,6.71,132.34,7.02,6.95,36.5,0.028421053,0.005263158,0,7.068,0,0,0.3,190
AR23-014-015,pH: 7.15,3,3/10/2023 8:25,2.65,2.62,98.86792453,4.53,3.69,1.04,328,5.69,79.21,7.14,7.15,36.5,0.035263158,0,0,7.188,0,0,0.2,190
AR23-014-016,pH: 6.95,3,3/10/2023 8:35,2.66,2.64,99.2481203,4.77,3.53,0.94,323,5.49,83.04,7.17,6.95,36.5,0.035263158,0,0.000526316,7.215,0,0,0.4,190
AR23-014-017,pH: 7.15,3,3/10/2023 8:45,6.96,6.9,99.13793103,3.13,3.7,1.42,312,7.21,157.56,6.98,7.15,36.5,0.032105263,0.006315789,0,7.001,0,0,0.1,190
AR23-014-018,pH: 6.95,3,3/10/2023 8:54,2.91,2.89,99.31271478,4.73,3.61,1.02,326,5.5,80.88,7.15,6.95,36.5,0.023684211,0,0,7.215,0,0,0.4,190
AR23-014-020,pH: 7.15,3,3/10/2023 9:04,3.05,3.03,99.3442623,4.46,3.64,1.12,324,5.85,76.11,7.17,7.15,36.5,0.034697048,0.003625065,0,7.145,0,0,0.2,193.1
AR23-014-021,pH: 6.95,3,3/10/2023 9:14,5.12,5.07,99.0234375,3.73,3.5,1.29,317,6.73,133.2,7.02,6.95,36.5,0.027964785,0.005178664,0,7.09,0,0,0.3,193.1
AR23-014-023,DR23-008 Satellites,3,3/10/2023 9:24,6.76,6.72,99.40828402,3.33,3.49,1.33,311,6.82,147.43,7,7.05,36.5,0.029212311,0.005738132,0,6.991,0,0,0.3,191.7
AR23-014-024,DR23-008 Satellites,3,3/10/2023 9:34,7.09,7.04,99.29478138,3.25,3.54,1.36,312,6.88,155.21,6.99,7.05,36.5,0.029473684,0.006315789,0,7.016,0,0,0.2,190
AR23-014-001,pH: 7.15,4,3/11/2023 9:42,10.97,10.86,98.99726527,5.78,4.34,1.83,340,7.84,,6.94,7.15,36.5,0,0,0,6.985,4.5,1.2,0.1,194.4
AR23-014-002,pH: 7.05,4,3/11/2023 6:08,9.77,9.63,98.56704197,6.49,5.33,1.87,350,8.71,,6.87,7.05,36.5,0,0,0,6.958,5.6,0.9,0.2,195.3
AR23-014-003,pH: 6.95,4,3/11/2023 6:20,12.04,11.94,99.16943522,5.81,4.55,1.8,344,8.35,,6.92,6.95,36.5,0,0,0,6.938,4.5,1,0.3,194.2
AR23-014-004,pH: 6.95,4,3/11/2023 6:30,9.55,9.46,99.05759162,6.61,5.31,1.89,362,8.69,,6.92,6.95,36.5,0,0,0,6.91,6.7,0.9,0.3,196.4
AR23-014-005,pH: 6.95,4,3/11/2023 6:40,11.14,11.07,99.37163375,6.6,5.12,1.9,358,8.87,,6.92,6.95,36.5,0,0,0,6.965,6.7,1,0.3,196.7
AR23-014-006,pH: 7.01,4,3/11/2023 6:50,11.44,11.35,99.21328671,6.29,4.82,1.89,347,8.49,,6.93,7.01,36.5,0,0,0,6.968,6.1,1.1,0.2,196
AR23-014-007,pH: 6.95,4,3/11/2023 6:59,5.66,5.59,98.76325088,4.95,4.5,1.62,346,7.34,,6.96,6.95,36.5,0,0,0,6.999,4.5,0,0.5,193.2
AR23-014-008,pH: 7.008,4,3/11/2023 7:09,10.48,10.44,99.61832061,5.82,4.19,1.83,338,8.25,,6.93,7.008,36.5,0,0,0,6.969,4.5,1.1,0.2,194.3
AR23-014-009,pH: 7.05,4,3/11/2023 7:19,9.23,9.17,99.34994583,6.4,4.63,1.83,355,8.63,,6.89,7.05,36.5,0,0,0,6.922,5.6,0.9,0.2,195.3
AR23-014-010,pH: 7.15,4,3/11/2023 7:29,6.07,6.02,99.17627677,6.35,4.44,1.78,353,7.88,,6.88,7.15,36.5,0,0,0,6.931,4.5,0.7,0.2,193.8
AR23-014-011,pH: 7.15,4,3/11/2023 7:39,11.08,11.02,99.45848375,6.6,4.81,1.82,361,8.68,,6.92,7.15,36.5,0,0,0,6.951,6.7,1.1,0.1,196.8
AR23-014-012,pH: 7.074747498,4,3/11/2023 7:49,8.8,8.74,99.31818182,6.69,4.85,1.77,357,8.83,,6.98,7.074747498,36.5,0,0,0,6.965,6.7,0.9,0.2,196.5
AR23-014-013,pH: 7.05,4,3/11/2023 8:02,8.31,8.22,98.91696751,6.42,5.02,1.86,357,8.76,,6.95,7.05,36.5,0,0,0,6.974,5.6,0.9,0.2,195.3
AR23-014-014,pH: 6.95,4,3/11/2023 8:14,9.79,9.72,99.28498468,6.22,4.79,1.85,353,8.58,,6.91,6.95,36.5,0,0,0,6.953,5.4,1,0.3,195.1
AR23-014-015,pH: 7.15,4,3/11/2023 8:23,5.53,5.51,99.63833635,5.55,5.51,1.81,357,7.73,,6.9,7.15,36.5,0,0,0,6.943,6.7,0,0.2,195.6
AR23-014-016,pH: 6.95,4,3/11/2023 8:33,5.6,5.55,99.10714286,5.76,5.37,1.62,360,7.41,,6.98,6.95,36.5,0,0,0,7.031,6.7,0,0.5,195.6
AR23-014-017,pH: 7.15,4,3/11/2023 8:43,10.27,10.16,98.92891918,6.36,4.85,1.88,356,8.46,,6.93,7.15,36.5,0,0,0,6.951,6.1,1.2,0.1,196.1
AR23-014-018,pH: 6.95,4,3/11/2023 8:53,6.13,6.08,99.18433931,4.91,4.71,1.73,346,7.49,,6.97,6.95,36.5,0,0,0,6.99,4.5,0,0.4,193.2
AR23-014-020,pH: 7.15,4,3/11/2023 9:03,5.95,5.92,99.49579832,7.03,5.32,1.85,366,7.76,,6.9,7.15,36.5,0,0,0,6.984,6.7,0.7,0.2,190
AR23-014-021,pH: 6.95,4,3/11/2023 9:13,10.64,10.56,99.2481203,6.14,4.71,1.87,354,8.61,,6.92,6.95,36.5,0,0,0,6.943,5.4,1,0.3,190
AR23-014-023,DR23-008 Satellites,4,3/11/2023 9:22,12.55,12.44,99.12350598,6.09,4.63,1.77,345,8.17,,6.95,7.05,36.5,0,0,0,6.996,5.6,1.1,0.3,197.2
AR23-014-024,DR23-008 Satellites,4,3/11/2023 9:32,12.07,12.02,99.58574979,6.09,4.57,1.8,343,8.09,,6.95,7.05,36.5,0,0,0,6.956,5.6,1.2,0.2,195.6
AR23-014-001,pH: 7.15,5,3/12/2023 10:32,17.55,17.42,99.25925926,4.81,4.25,1.18,324,5.75,512.93,7.19,7.15,31,0.023510972,0,0,7.11,4.5,1.2,0.1,191.4
AR23-014-002,pH: 7.05,5,3/12/2023 6:25,18.3,18.22,99.56284153,4.31,4.67,1.79,329,7.45,475.03,7,7.05,36.5,0.029121165,0,0,6.933,5.6,0.9,0.2,192.3
AR23-014-003,pH: 6.95,5,3/12/2023 6:34,19.89,19.7,99.0447461,3.39,3.57,1.4,306,5.2,588.5,7.11,6.95,36.5,0.023547881,0,0,7.062,4.5,1,0.3,191.1
AR23-014-004,pH: 6.95,5,3/12/2023 6:44,16.33,16.19,99.14268218,4.27,4.61,1.85,326,6.89,510.37,7.01,6.95,36.5,0.035178479,0,0,6.989,6.7,0.9,0.3,193.3
AR23-014-005,pH: 6.95,5,3/12/2023 6:55,14.57,14.46,99.24502402,5.52,4.73,1.46,342,7.64,475.39,7.16,6.95,31,0.035123967,0,0.000516529,7.08,6.7,1,0.3,193.6
AR23-014-006,pH: 7.01,5,3/12/2023 7:04,22.19,22.01,99.18882379,3.76,4.14,1.67,325,5.64,596.53,7.04,7.01,36.5,0.031104199,0,0,7.053,6.1,1.1,0.2,192.9
AR23-014-007,pH: 6.95,5,3/12/2023 7:15,9.48,9.42,99.36708861,4.2,4.41,1.56,336,8.43,236.78,7.17,6.95,31,0.023671752,0,0,7.102,4.5,0,0.5,190.1
AR23-014-008,pH: 7.008,5,3/12/2023 7:24,17.59,17.47,99.3177942,3.71,3.49,1.36,314,5.17,563.51,7.18,7.008,31,0.023523262,0,0,7.116,4.5,1.1,0.2,191.3
AR23-014-009,pH: 7.05,5,3/12/2023 7:34,17.75,17.64,99.38028169,4.31,4.15,1.83,325,7.02,486.33,7.02,7.05,36.5,0.029121165,0,0,6.964,5.6,0.9,0.2,192.3
AR23-014-010,pH: 7.15,5,3/12/2023 7:44,11.77,11.7,99.40526763,4.7,4.26,2.01,342,8.51,308.69,6.99,7.15,36.5,0.023560209,0,0,6.938,4.5,0.7,0.2,191
AR23-014-011,pH: 7.15,5,3/12/2023 8:03,19.77,19.59,99.08952959,4.06,4.58,1.59,320,5.58,583.52,7.05,7.15,36.5,0.035105834,0,0,7.042,6.7,1.1,0.1,193.7
AR23-014-012,pH: 7.074747498,5,3/12/2023 8:14,12.03,11.96,99.41812136,5.87,5.31,1.47,347,8.82,404.79,7.17,7.074747498,31,0.035142119,0,0,7.136,6.7,0.9,0.2,193.5
AR23-014-013,pH: 7.05,5,3/12/2023 8:24,16.65,16.51,99.15915916,4.28,4.59,1.92,325,7.3,480.65,7.02,7.05,36.5,0.029121165,0,0,7.006,5.6,0.9,0.2,192.3
AR23-014-014,pH: 6.95,5,3/12/2023 8:33,13.12,12.97,98.85670732,5.24,4.63,1.48,338,7.84,420.88,7.16,6.95,31,0.027589797,0,0,7.076,5.4,1,0.3,192.1
AR23-014-015,pH: 7.15,5,3/12/2023 8:43,11.04,10.93,99.00362319,3.9,5.22,2.05,352,8.91,294.15,6.99,7.15,36.5,0.03526971,0,0,6.936,6.7,0,0.2,192.8
AR23-014-016,pH: 6.95,5,3/12/2023 8:53,9.56,9.48,99.16317992,4.14,5.23,1.89,342,8.86,297.51,6.95,6.95,36.5,0.035306334,0,0,6.933,6.7,0,0.5,192.6
AR23-014-017,pH: 7.15,5,3/12/2023 9:03,19.6,19.5,99.48979592,4.33,4.14,1.4,323,5.61,580.35,7.15,7.15,31,0.031071983,0,0,7.107,6.1,1.2,0.1,193.1
AR23-014-018,pH: 6.95,5,3/12/2023 9:13,13.26,13.11,98.86877828,3.21,4.47,1.89,329,8.42,333.17,6.92,6.95,36.5,0.023671752,0,0,6.951,4.5,0,0.4,190.1
AR23-014-020,pH: 7.15,5,3/12/2023 9:23,8.31,8.18,98.43561974,6.43,5.25,1.68,359,8.99,234.37,7.12,7.15,31,0.034640856,0,0,7.063,6.7,0.7,0.2,196.3
AR23-014-021,pH: 6.95,5,3/12/2023 9:33,15.02,14.89,99.13448735,5.17,4.5,1.49,333,7.74,420.23,7.16,6.95,31,0.027165556,0,0,7.097,5.4,1,0.3,195.1
AR23-014-023,DR23-008 Satellites,5,3/12/2023 9:43,19.71,19.64,99.64485033,3.57,3.67,1.41,316,4.9,616.82,7.1,7.05,36.5,0.028851108,0,0,7.131,5.6,1.1,0.3,194.1
AR23-014-024,DR23-008 Satellites,5,3/12/2023 9:53,17.98,17.86,99.33259177,3.52,3.75,1.44,313,4.73,600.9,7.09,7.05,36.5,0.029090909,0,0,7.12,5.6,1.2,0.2,192.5
AR23-014-001,pH: 7.15,6,3/13/2023 9:53,18.36,18.22,99.23747277,4.58,4.69,0.91,330,4.92,,7.21,7.15,31,0,0,0,7.23,9,1.2,0.1,194.5
AR23-014-002,pH: 7.05,6,3/13/2023 6:09,20.35,20.16,99.06633907,4.38,5.82,1.25,334,5.66,,7.18,7.05,31,0,0.003560529,0,7.146,11.2,0.9,0.2,196.6
AR23-014-003,pH: 6.95,6,3/13/2023 6:18,21.78,21.58,99.08172635,1.16,3.6,1.1,295,2.65,,7.18,6.95,36.5,0,0.010819165,0.002060793,7.212,9,1,0.3,194.1
